,Beacon UID,Major,Minor,Factory ID,Confirgured UUID,
1,SEA_0006_0001,6,1,C34Y-GS3Q7, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
2,SEA_0006_0002,6,2,UH1P-K6JWV, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
3,SEA_0006_0003,6,3,VZB3-WZQ9E, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
4,SEA_0006_0004,6,4,QY6J-MQ8BE, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
5,SEA_0006_0005,6,5,E6Q7-BFV83, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
6,SEA_0006_0006,6,6,TYBU-8P1N1, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
7,SEA_0006_0007,6,7,G762-1FB4J, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
8,SEA_0006_0008,6,8,1W69-3F6H3, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
9,SEA_0006_0009,6,9,ZSQ5-P8ZFC, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
10,SEA_0006_0010,6,10,9NJR-93P56, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
11,SEA_0007_0001,7,1,CFWB-2Q7BS, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
12,SEA_0007_0002,7,2,Z2Y6-Q2XFF, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
13,SEA_0007_0003,7,3,TX9B-CENZR, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
14,SEA_0007_0004,7,4,S2TV-F1W42, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
15,SEA_0007_0005,7,5,SMUK-JNFUX, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
16,SEA_0007_0006,7,6,KZST-ECJP1, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
17,SEA_0007_0007,7,7,6WJC-RUM1E, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
18,SEA_0007_0008,7,8,YBGM-3Y45U, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
19,SEA_0007_0009,7,9,7WJN-S9SPZ, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
20,SEA_0007_0010,7,10,Q9GJ-M378K, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
21,SEA_0008_0001,8,1,Z2SU-5ZRSH, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
22,SEA_0008_0002,8,2,PNMS-GSP24, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
23,SEA_0008_0003,8,3,EKHC-MPPEU, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
24,SEA_0008_0004,8,4,SQJS-7P79J, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
25,SEA_0008_0005,8,5,NNCF-7EA6W, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
26,SEA_0008_0006,8,6,SAA9-ZZ9SE, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
27,SEA_0008_0007,8,7,PPT8-BRBAJ, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
28,SEA_0008_0008,8,8,PVUX-WWB75, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
29,SEA_0008_0009,8,9,KWF2-EY761, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
30,SEA_0008_0010,8,10,V9A6-QH78Y, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
31,SEA_0009_0001,9,1,NUM8-821H3, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
32,SEA_0009_0002,9,2,A5T6-9EUQ7, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
33,SEA_0009_0003,9,3,WXCA-TFNB1, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
34,SEA_0009_0004,9,4,CA6J-9QE34, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
35,SEA_0009_0005,9,5,9NXM-UEYC6, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
36,SEA_0009_0006,9,6,J8XN-8PGW2, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
37,SEA_0009_0007,9,7,X4GM-RA7YZ, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
38,SEA_0009_0008,9,8,GT6G-5A3N7, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
39,SEA_0009_0009,9,9,SBC6-3T9RY, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
40,SEA_0009_0010,9,10,7TB4-GCXUP, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
41,SEA_0010_0001,10,1,8TU5-3KPWT, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
42,SEA_0010_0002,10,2,JNMS-R1YYB, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
43,SEA_0010_0003,10,3,2YVS-X9JS3, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
44,SEA_0010_0004,10,4,NR49-GNPYF, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
45,SEA_0010_0005,10,5,5A5E-4C1CM, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
46,SEA_0010_0006,10,6,6387-KAHZR, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
47,SEA_0010_0007,10,7,UK4J-RVTN6, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
48,SEA_0010_0008,10,8,WAH3-1G34S, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
49,SEA_0010_0009,10,9,C43F-CCQSG, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
50,SEA_0010_0010,10,10,K2S1-ZEVMA, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
51,SEA_0011_0001,11,1,VNEH-V4TES, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
52,SEA_0011_0002,11,2,P21E-Z16MU, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
53,SEA_0011_0003,11,3,X7MN-RJCFC, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
54,SEA_0011_0004,11,4,4HRC-A5JJA, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,
55,SEA_0011_0005,11,5,YTGJ-AGVV3, 5ECD88CB-08FB-4557-9788-4BBDFFD9B180,